Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
ехала,на автобусе,PREP,ехать,no,past,impf,sing,"В Италию ехала на автобусе, много спала. ",7,Александр Иличевский,Облако,2008
приехала,на автобусе,PREP,приехать,yes,past,perf,sing,"Валентина Викторовна приехала на автобусе, выстояла очередь человек из тридцати. ",10,Роман Сенчин,Елтышевы,2008
поедет,на автобусе,PREP,поехать,yes,futr,perf,sing,"Как же она на трамвае поедет, на автобусе?»  ",8,Александр Терехов,Каменный мост,1997
вывезли,на автобусах,PREP,вывезти,yes,past,perf,plur,Всех оставшихся в здании арестовали и вывезли на автобусах. ,9,Чингиз Абдуллаев,Мистерия эпохи заката,2007
привозят,на автобусах,PREP,привозить,yes,pres,impf,plur,"Накануне дня голосования мы узнали, что в одну из школ Брянска каждый день насильно привозят на автобусах людей с разных предприятий и читают им лекцию на актуальнейшую тему: « Почему нельзя голосовать за Тарасова».   ",34,Артем Тарасов,Миллионер,2004
возят,на автобусах,PREP,возить,no,pres,impf,plur,"Все делегации разбросаны по разным отелям, на тур ребят возят на автобусах, поэтому уже за час до начала приходится спускаться в вестибюль, чтобы не опоздать. ",25,Людмила Белавенец,Четыре плюс один,2004
доехали,на автобусе,PREP,доехать,yes,past,perf,sing,"Но мама взяла Тоню за руку, доехали на автобусе, выходят, и вперед. ",12,Майя Кучерская,Современный патерик: чтение для впавших в уныние,2004
поехал,на автобусе,PREP,поехать,yes,past,perf,sing,"Летом всегда сдавали комнаты курортникам ― один дачник, доцент из Курска, составлял какой-то словарь, порезался о битое стекло на берегу, поехал на автобусе в больницу, автобус попал в аварию ― застрял на железнодорожном переезде, а потом эти листы со столбиками слов были на банках с вареньем ― жена не закручивала крышки, а по старинке закрывала бумагой и обвертывала веревочкой. ",59,Михаил Шишкин,Венерин волос,2004
следовали,на автобусе,PREP,следовать,no,past,impf,sing,"За время моей службы на большинство « адресных» спецопераций, проводившихся ОВД в ночное время для задержания преступников и лиц, причастных к деятельности НВФ, мы следовали на автобусе ПАЗ, который брали в АТП г. ",33,,Концепция и реальность,2004
везли,на автобусе,PREP,везти,no,past,impf,sing,"Греческий ад, мрачный, бесплодный, одни камни, а над пристанью обрыв, для человека из Армении, перевидавшего столько ущелий, как будто ничего сверхъестественного, но Рита боялась высоты и, когда их везли на автобусе по серпантину, проложенному по действительно отвесной стене, зажмуривалась изо всех сил. ",42,Гоар Маркосян-Каспер,Кариатиды,2003
едут,на автобусах,PREP,ехать,no,pres,impf,plur,"Прикрывшись « живым щитом», люди Мовсара Бараева едут на автобусах через всю столицу в аэропорт, где их ожидает самолет, чтобы доставить в Чечню. ",23,Павел Евдокимов,Тень «Норд-Оста»,2003
привозят,на автобусах,PREP,привозить,yes,pres,impf,plur,"Когда функционеры « Единой России» привозят на автобусах снятых с занятий студентов с голубыми флагами на демонстрацию « против грабительской реформы ЖКХ», полезно сразу вспомнить, что за закон, вводящий в действие эту самую грабительскую реформу, в Госдуме проголосовали 98% депутатов от « Единой России». ",44,Сергей Телегин,"Трудись, душа!",2003
ездят,на автобусах,PREP,ездить,no,pres,impf,plur,"Сейчас статистика показывает, что жители Бутово ездят на автобусах и к Серпуховской, и к Калужско- Рижской линии, и им надо сохранить такую возможность и в будущем. ",26,,Дмитрий Гаев: «Частные инвесторы будут участвовать в строительстве метрополитена»,2003
доехал,на автобусе,PREP,доехать,yes,past,perf,sing,"От метро, как обычно, я доехал на автобусе до высокого, башнеобразного, углового дома на Ленинском проспекте.   ",16,В. Д. Алейников,Тадзимас,2002
Поехал,на автобусе,PREP,поехать,yes,past,perf,sing,"Поехал на автобусе в город, на рынок, на « Динамо», там все есть. ",13,Г. Я. Бакланов,Дурень,2002
добирались,на автобусе,PREP,добираться,yes,past,impf,sing,До стоянки добирались на автобусе из Ленинграда. ,7,Герард Васильев,"Роли, которые нас выбирают",2002
уезжали,на автобусах,PREP,уезжать,yes,past,impf,plur,"Те, что уезжали на автобусах в дальние деревни, тащили авоськи с мягким сероватым хлебом ― кормить детей и коров. ",19,Елена Чижова,Лавра,2002
привозят,на автобусе,PREP,привозить,yes,pres,impf,sing,Нас каждое утро сюда привозят на автобусе. ,7,Сергей Чабаненко,Их нет. Они в земле,2002
поехали,на автобусе,PREP,поехать,yes,past,perf,sing,Однажды мы собрались и поехали на автобусе в Остию.   ,9,Эдуард Лимонов,Книга воды,2002
ехал,на автобусе,PREP,ехать,no,past,impf,sing,"Я, когда ехал на автобусе, видел уже горные потоки: вода и эта грязь… Мы проезжали такие места, где автобус ехал уже по потокам, по лужам. ",25,,Кавказские дольмены,2002
выходили,на автобусах,PREP,выходить,yes,past,perf,plur,"Об этом он сказал потом, когда мы уже выходили на автобусах с заложниками из Кизляра.   ",15,Александр Михайлов,Капкан для одинокого волка,2001
ездили,на автобусе,PREP,ездить,no,past,impf,sing,"Они ездили на автобусе к реке Мироже и смотрели, как зреют в садах вишни. ",14,Александр Проханов,Господин Гексоген,2001
Поехали,на автобусе,PREP,поехать,yes,past,perf,sing,Сели в машину. Поехали на автобусе в здание аэропорта. ,9,Александр Яковлев,Омут памяти. Т.1,2001
покатил,на автобусе,PREP,покатить,yes,past,perf,sing,В туристской компании « Мир без границ» напротив пивной « Гейдельберг» в Четвертом переулке Сукхумвит- роуд я купил горящий тур на Север и покатил на автобусе « Вольво» в компании французских старушек в Чиенгмай. ,34,Валериан Скворцов,Каникулы вне закона,2001
вернулся,на автобусе,PREP,вернуться,no,past,perf,sing,"В общежитие вернулся на автобусе и, наверное, позабыл бы и о начальнице, и о лысом, если бы не еще одна встреча с ними, которая, как понимаю сейчас, оказалась судьбоносной…   ",29,Виктор Слипенчук,Зинзивер,2001
приезжала,на автобусе,PREP,приезжать,yes,past,impf,sing,Потому что в церковь она приезжала на автобусе. ,8,Игорь Ефимов,Суд да дело,2001
отвезли,на автобусе,PREP,отвезти,yes,past,perf,sing,"Банкет был на квартире родителей, куда всех отвезли на автобусе, который заказал отец. ",13,Лев Дурнов,Жизнь врача. Записки обыкновенного человека,2001
довезут,на автобусе,PREP,довезти,yes,futr,perf,sing,Пассажиров « Аэрофлота» довезут на автобусе   ,6,Марина Носкович,Пассажиров «Аэрофлота» довезут на автобусе,2001
возят,на автобусе,PREP,возить,no,pres,impf,sing,"Попасть в спецгруппу ― это означало еще и то, что лед давали и утром, и вечером, кататься можно сколько влезет, на каток возят на автобусе, а на сборы берут не раз в год, а постоянно. ",35,"Андрей Букин, Игорь Бобрин, Наталья Бестемьянова","Пара, в которой трое",2000
ездили,на автобусе,PREP,ездить,no,past,impf,sing,По Финляндии мы ездили на автобусе. ,6,"Андрей Букин, Игорь Бобрин, Наталья Бестемьянова","Пара, в которой трое",2000
добиралась,на автобусе,PREP,добираться,yes,past,impf,sing,От Бостона до Лейк- Плэсида сборная добиралась на автобусе. ,9,"Андрей Букин, Игорь Бобрин, Наталья Бестемьянова","Пара, в которой трое",2000
приехали,на автобусе,PREP,приехать,yes,past,perf,sing,"Утром мы все впятером, в настроении подобающего волнения, приехали на автобусе на Вия Венетто и подошли к дому 119, красивому старинному особняку с флагом США.   ",25,Владимир Голяховский,Русский доктор в Америке,1984
поехали,на автобусе,PREP,поехать,yes,past,perf,sing,В назначенный день мы с мистером Лупшицем поехали на автобусе на 47- ю улицу.   ,14,Владимир Голяховский,Русский доктор в Америке,1984
возили,на автобусах,PREP,возить,no,past,impf,plur,"Играли в театре « Шайо» на площади Трокадеро, куда нас возили на автобусах. ",13,А. С. Демидова,Бегущая строка памяти,2000
поехали,на автобусах,PREP,поехать,yes,past,perf,plur,Наконец поехали на автобусах в Подую. ,6,А. С. Демидова,Бегущая строка памяти,2000
доехал,на автобусе,PREP,доехать,yes,past,perf,sing,"Старик доехал на автобусе до станции метро, спустился на эскалаторе вниз и уже через каких-то полчаса подходил к группе таких же, как он, старых ветеранов на Поклонной горе. ",28,Алексей Грачев,Ярый-3. Ордер на смерть,2000
ехал,на автобусе,PREP,ехать,no,past,impf,sing,За несколько дней до своего провала в Бостоне я ехал на автобусе по американской глубинке из г. ,17,В. А. Успенский,"Лермонтов, Колмогоров, женская логика и политкорректность",2000
доставят,на автобусах,PREP,доставить,yes,futr,perf,plur,Газетчиков и телевидение к месту съемки доставят на автобусах. ,9,Виктор Левашов,Заговор патриота,2000
доедем,на автобусе,PREP,доехать,yes,futr,perf,sing,"До города не будем с тобой общаться, а там уж вместе доедем на автобусе до военного гарнизона. ",17,Лев Дворецкий,Шакалы,2000
ехали,на автобусе,PREP,ехать,no,past,impf,sing,А через три дня они уже ехали на автобусе в Таллинн. ,11,Марианна Баконина,Девять граммов пластита,2000
приехал,на автобусе,PREP,приехать,yes,past,perf,sing,"Предупредил письмом из санатория, приехал на автобусе.   ",7,Николай Амосов,Голоса времен,1999
Приехал,на автобусе,PREP,приехать,yes,past,perf,sing,"Приехал на автобусе и пошел в институт, так и было сказано в приглашении, которое получил от инициативной группы. ",18,Николай Амосов,Голоса времен,1999
возили,на автобусе,PREP,возить,no,past,impf,sing,"Там нас поселили в роскошной гостинице « Уолдорф- Астория», возили на автобусе фирмы « Роллс-ройс», сделанном для рыцарей по специальному заказу.   ",21,Юрий Сенкевич,Путешествие длиною в жизнь,1999
поехали,на автобусе,PREP,поехать,yes,past,perf,sing,"Мы сдали багаж, поехали на автобусе на посадку. ",8,Юрий Сенкевич,Путешествие длиною в жизнь,1999
ехали,на автобусе,PREP,ехать,no,past,impf,sing,"В эти минуты и среди этих предъявляющих себя как реальные предметов: стен, дорог, кустов, облаков ― мы ехали на автобусе в магазин, покупали хлеб, кислое вино, плавленные сырки, черешню, ели, купались в речке, собирали охапку грибов, засыпали ― и снова бросались в реальность, где все это становилось нарисованным, как коврик с лебедями над нашей кроватью. ",55,Анатолий Найман,Любовный интерес,1998
добирался,на автобусах,PREP,добираться,yes,past,impf,plur,"Он добирался на автобусах, на еле видных, жутко грохочущих сквозь белую пыль грузовиках, а где и пешком, по размолотой сыпучей дороге, что представлялась ему земляной рекой, медленно влекущей свое содержимое за ногами и колесами из края в край; все существо его полнилось этой землею с горькой зеленью на склонах, этим знаемым с детства камнем, рыхлым, слюдяным, похожим на круто посоленный хлеб; казалось, даже ",63,Ольга Славникова,"Стрекоза, увеличенная до размеров собаки",1995
прокатились,на автобусе,PREP,прокатиться,yes,past,perf,sing,"Ну а мы побыли еще несколько дней в Польше, послушали выступления других участников « Джаз джембори ― 62», прокатились на автобусе по стране с концертами в Кракове, Быдгоще и где-то еще. ",31,Алексей Козлов,Козел на саксе,1998
катают,на автобусе,PREP,катать,no,pres,impf,sing,"Это значит, что вместо экскурсии по Парижу вас целый день катают на автобусе вокруг вашего отеля. ",16,Андрей Колесников,Исповедь участника лотереи,1997
ехали,на автобусе,PREP,ехать,no,past,impf,sing,Три часа ехали на автобусе и оказались в Нью-Джерси перед самым Новым годом. ,13,Вячеслав Фетисов,Овертайм,1997
Привезли,на автобусе,PREP,привезти,yes,past,perf,sing,"Привезли на автобусе в туннель, так сейчас во многих Дворцах делают, но тогда тоже чудо ― не на улице высаживают!  ",20,Вячеслав Фетисов,Овертайм,1997
привезли,на автобусе,PREP,привезти,yes,past,perf,sing,На вертолетную площадку аудиторию специально привезли на автобусе. ,8,Николай Фохт,Запасная Москва,1997
увезли,на автобусе,PREP,увезти,yes,past,perf,sing,Их увезли на автобусе в неизвестном направлении. ,7,Александр Раскин,Ситуация в Чечне и Дагестане,1996
ездили,на автобусе,PREP,ездить,no,past,impf,sing,"Отсюда либо ездили на автобусе в Судак, на городской пляж, либо ходили в дальние бухты, за двенадцать километров, и это была целая экспедиция, иногда на несколько дней, с палатками.   ",29,Людмила Улицкая,Медея и ее дети,1996
повезли,на автобусе,PREP,повезти,yes,past,perf,sing,"Впрочем, замок, чуть ли ни с восьмого века, такой древний, куда их повезли на автобусе, был и в самом деле красив необыкновенно. ",22,Евгений Шкловский,Другая,1990
ехал,на автобусе,PREP,ехать,no,past,impf,sing,"Помню, в какой-то день ( мне было 42- 43 года) я ехал на автобусе и думал о маме; и вдруг мне стало совершенно ясно, что я могу сказать: Господи, сделай что Ты хочешь. ",33,митрополит Антоний (Блум),О смерти,1985
катит,на автобусе,PREP,катить,no,pres,impf,sing,"Он выбрал маршрут верно: прилетел в Вашингтон, разыскал меня и объяснил, что катит на автобусе до Телахасси, куда получил приглашение старинной приятельницы. ",22,Николай Климонтович,Дорога в Рим,1991
добирался,на автобусе,PREP,добираться,yes,past,impf,sing,До Костромы добирался на автобусе. ,5,Дмитрий Бирюков,Чувство отвоеванной свободы,1990
прибыли,на автобусе,PREP,прибыть,yes,past,perf,sing,"Через тридцать лет после описываемых событий мы с дядей Сандро приехали в Чегем на лошадях, которых раздобыли в соседнем селе Джгерды, куда мы прибыли на автобусе.   ",26,Фазиль Искандер,Сандро из Чегема (Книга 3),1989
поехал,на автобусе,PREP,поехать,yes,past,perf,sing,"Из Владимира я поехал на автобусе, вернее, на крытом брезентом грузовике, в Суздаль. ",13,С. М. Голицын,Записки уцелевшего,1980
Доедем,на автобусе,PREP,доехать,yes,futr,perf,sing,"Доедем на автобусе, — радостно отвечал папа, как будто ничего нет приятнее.   ",12,Л. Г. Матвеева,Продлёнка,1987
ездил,на автобусе,PREP,ездить,no,past,impf,sing,А сегодня ты тоже ездил на автобусе?  ,7,Л. Г. Матвеева,Продлёнка,1987
ехал,на автобусе,PREP,ехать,no,past,impf,sing,"И он мне рассказывал, как он ехал на автобусе и молился, прося Господа дать ему понять, что значит « вселение Святого Духа». ",22,митрополит Антоний (Блум),Ответы на вопросы о молитве,1975
поехал,на автобусе,PREP,поехать,yes,past,perf,sing,"Из Buffalo в Toronto поехал на автобусе, один, три часа. ",10,А. Д. Шмеман,Дневники,1973
выезжаем,на автобусе,PREP,выезжать,yes,pres,impf,sing,В шестом часу выезжаем на автобусе в Кральево. ,8,А. Д. Шмеман,Дневники,1973
ездил,на автобусе,PREP,ездить,no,past,impf,sing,"Если, конечно, узнал, что он ездил на автобусе в Видясиху… ",10,Юрий Вяземский,Прокол,1982
поедут,на автобусе,PREP,поехать,yes,futr,perf,sing,Сегодня снова они поедут на автобусе… ,6,Виктор Астафьев,Зрячий посох,1978
Подъехали,на автобусе,PREP,подъехать,yes,past,perf,sing,наш военный автобус уже ушел. Подъехали на автобусе медицинского контракта. ,10,В. И. Аблазов,Дневник,1981
езжу,на автобусе,PREP,ездить,no,pres,impf,sing,"Его возят на машине, а я езжу на автобусе. ",9,Валентин Черных,Москва слезам не верит,1980
ехал,на автобусе,PREP,ехать,no,past,impf,sing,В дни зарплаты Шукшин ехал на автобусе в поселок Клетская. ,10,Юрий Никулин,Мое любимое кино,1979
ездил,на автобусе,PREP,ездить,no,past,impf,sing,"Судьба этой собаки была трагична, глубоко меня волновала; я много переживал, мало работал и ездил на автобусе в пивную « Чайка». ",21,Виктор Конецкий,На околонаучной параболе (Путешествие в Академгородок). Повесть,1978
ездит,на автобусе,PREP,ездить,no,pres,impf,sing,Он снова ездит на автобусе. ,5,Л. Милегин,Трудный случай,1978
поеду,на автобусе,PREP,поехать,yes,futr,perf,sing,"Ну, молодежь, прогуляйтесь пешком до клуба, а я поеду на автобусе и возьму билеты. ",14,Октем Эминов,"Будь осторожен, Бекназар!",1978
выехали,на автобусе,PREP,выехать,yes,past,perf,sing,"Через два часа все участники совещания во главе с начальником техотдела УВПСа инженером Бороздичем ― изящным, приторно вежливым поляком ― выехали на автобусе. ",23,С. М. Голицын,Записки беспогонника,1946
приехали,на автобусе,PREP,приехать,yes,past,perf,sing,"Сережа стал сердиться и доказывать, что шоссе есть, они приехали на автобусе и автобус ждет на шоссе. ",17,Ю. В. Трифонов,Другая жизнь,1975
приезжают,на автобусе,PREP,приезжать,yes,pres,impf,sing,"Он подошел, светя всеми своими окнами, но еще раньше него подошел большой косолапый автобус, и Митя увидел, что Настя со своим папой, с капором и папиной бородой вошли в автобус и уехали, и понял, что теперь он, должно быть, не скоро ее увидит: она жила где-то в совсем другой стороне, откуда приезжают на автобусе.   ",54,В. Ф. Панова,Про Митю и Настю,1972
ехал,на автобусе,PREP,ехать,no,past,impf,sing,"Нет, ехал на автобусе.   ",4,Глеб Голубев,«Вспомни!»,1972
вернулись,на автобусе,PREP,вернуться,no,past,perf,sing,В город мы вернулись на автобусе. ,6,Константин Воробьев,Вот пришел великан,1971
покатаешься,на автобусе,PREP,покататься,yes,futr,perf,sing,Ты у нас покатаешься на автобусе.   ,6,Василий Шукшин,Микроскоп,1969
поехали,на автобусе,PREP,поехать,yes,past,perf,sing,"Полковник Королев жил на Литейном, а Вера бог знает где, за Нарвской заставой, они поехали на автобусе, но остановки за две- три до Нарвской Звягинцев уговорил Веру сойти, и остальной путь они прошли пешком.   ",34,Александр Чаковский,Блокада,1968
съездили,на автобусе,PREP,съездить,yes,past,perf,sing,"Мы не только осмотрели главные достопримечательности Лондона, но даже съездили на автобусе в St. ",14,Н. О. Лосский,Воспоминания: жизнь и философский путь,1968
привезли,на автобусе,PREP,привезти,yes,past,perf,sing,"На третий день с утра их повезли на « Ракете» в Петродворец любоваться фонтанами, щелкать фотоаппаратами, жужжать кинокамерами, потом привезли на автобусе обедать, потом отвели их во Дворец бракосочетания, где молодые люди и девушки кладут начало семейной хронике и увеличению потомства, а потом они слушали оперу « Иван Сусанин», а на четвертый день им выдали пригородные красоты Пушкина и Павловска, включая, конечно, Екатерининский дворец, в ",65,Б. Б. Вахтин,Портрет незнакомца,1966
Поеду,на автобусе,PREP,поехать,yes,futr,perf,sing,"Ладно, ― говорит Никита Иванович. Поеду на автобусе.   ",8,Эдуард Шим,Когда погаснет,1964
ехали,на автобусе,PREP,ехать,no,past,impf,sing,"Ехали мы, ехали на автобусе по асфальтовому шоссе и все не могли выехать из Владимира. ",15,С. М. Голицын,За березовыми книгами,1963
приехали,на автобусе,PREP,приехать,yes,past,perf,sing,Мы приехали на автобусе!  ,4,В. Ф. Панова,Сережа,1955
поехал,на автобусе,PREP,поехать,yes,past,perf,sing,"Очень поздно пришел Луков, заметно похудевший; рассказал, как добрался в автобусе до Москвы, как его, приняв за шпиона, арестовали и как пытались вскрыть в коробках негативы, ради которых он и поехал на автобусе.   ",33,Вс. В. Иванов,Дневники,1940
уехал,на автобусе,PREP,уехать,yes,past,perf,sing,Я отблагодарил и уехал на автобусе. ,6,Г. С. Эфрон,Дневники. Т. 2,1941
приехали,на автобусе,PREP,приехать,yes,past,perf,sing,"Парашютистки приехали на автобусе позднее, около 12 часов. ",8,Л. К. Бронтман,Дневники и письма,1932
поехали,на автобусе,PREP,поехать,yes,past,perf,sing,"Мы поехали на автобусе в южное предместье Парижа ― Лонжюмо, по той дороге, по которой когда-то Владимир Ильич ездил из Парижа на велосипеде. ",23,А. Шилов,В столице Франции,1939
поедем,на автобусе,PREP,поехать,yes,futr,perf,sing,"Я ему сказал, что мы к бабушке поедем на автобусе.   ",10,Б. С. Житков,Что я видел,1937
отправились,на автобусах,PREP,отправиться,yes,past,perf,plur,5 декабря в 4 часа дня пять баскетбольных команд ЛГУ и человек 50 самых ярых болельщиков отправились на автобусах далеко за город в Институт гражданского воздушного флота. ,27,,Баскетбол,1936
поехали,на автобусе,PREP,поехать,yes,past,perf,sing,"Они поехали на автобусе и всю дорогу, свирепо гримасничая, лопотали на каком-то забавном тарабарском наречии, которое придумалось само собою. ",19,Л. М. Леонов,Скутаревский,1930
поехал,на автобусе,PREP,поехать,yes,past,perf,sing,"Сошел в Детском Селе и поехал на автобусе к Екатерининскому дворцу, превращенному в музей.   ",14,К. К. Вагинов,Труды и дни Свистонова,1928
ездил,на поезде,PREP,ездить,no,past,impf,sing,"Просто, ну я же ездил на поезде… ",7,Евгений Гришковец,ОдноврЕмЕнно,2004
везут,на поездах,PREP,везти,no,pres,impf,plur,"Его везут на поездах, самолётах, машинах, и редкая партия минует Екатеринбург ― крупнейший транспортный узел на границе Европы и Азии. ",20,Георгий Летов,Героиновая шкатулка,2003
Добирались,на поезде,PREP,добираться,yes,past,impf,sing,"Добирались на поезде, приехав, узнали, что до биостанции двадцать пять километров. ",11,Даниил Гранин,Зубр,1987
едут,на поезде,PREP,ехать,no,pres,impf,sing,И едут на поезде так далеко и… все вместе? ,9,Василий Аксенов,Звездный билет,1961
везли,на поезде,PREP,везти,no,past,impf,sing,"Письмо везли на поезде, на самолёте, на пароходе, на автомобиле, на оленях до того посёлка, где спрятался Серафим.   ",18,В. Т. Шаламов,Колымские рассказы,1954
уехал,на поезде,PREP,уехать,yes,past,perf,sing,"В результате этого человека осудили за то, что он выхватил этот букет и уехал на поезде. ",16,"Кирилл Миловидов, протоиерей Константин Кобелев","В тюрьме мы часто имеем дело не c преступником, а с жертвой",2017
отправился,на поезде,PREP,отправиться,yes,past,perf,sing,"Не желая терять теплый сентябрьский день, я прямо оттуда отправился на поезде в Запорожье, на остров Хортица ― купаться в Днепре и в « Хортице».   ",25,Дмитрий Люкайтис,С налетом цензуры,2015
едете,на поезде,PREP,ехать,no,pres,impf,sing,"Вот представьте, вы едете на поезде без окон в какой-то город. ",11,Виктор Пелевин,Бэтман Аполло,2013
Добирался,на поезде,PREP,добираться,yes,past,impf,sing,"Добирался на поезде к родному дому, за окном поезда ничего не видно, забрался в интернет- поисковик, полистать, что там выкрикивают блогеры по поводу моего текста.   ",25,Захар Прилепин,Леша из Кельна,2012
ехали,на поезде,PREP,ехать,no,past,impf,sing,В Эстонию они ехали на поезде. ,6,Маша Трауб,Нам выходить на следующей,2011
ехали,на поезде,PREP,ехать,no,past,impf,sing,"Потом мы с Софьей вместе ехали на поезде по Северной железной дороге ― она обратно в Пермь к своему мужу, а я в Вятскую губернию к своей жене. ",28,М. И. Касьянов,«Телега жизни». Молодость. Часть 2 1921―1927 гг.,2010
ехали,на поезде,PREP,ехать,no,past,impf,sing,"В день отъезда ― Антонина с Витей ехали на поезде, Ира с Тасей на самолете другим рейсом ― все обменялись телефонами, расцеловались и договорились встретиться в Москве.   ",27,Маша Трауб,Домик на Юге,2009
ехали,на поезде,PREP,ехать,no,past,impf,sing,"Существовал и другой путь: из Ташкента и Бухары путники ехали на поезде до Тулы, а там пересаживались на поезд до Одессы.   ",21,Альфина Сибгатуллина,До Мекки через Стамбул,2008
добирались,на поезде,PREP,добираться,yes,past,impf,sing,"До Сталинграда добирались на поезде неделю, пропуская воинские эшелоны. ",9,Елена Огаркова,"«Просто, без прикрас, очевидно...»",2008
доехал,на поезде,PREP,доехать,yes,past,perf,sing,Тогда я решил и доехал на поезде из Триеста в Милан и оттуда вылетел через Мюнхен в Берлин. ,18,С. П. Капица,Мои воспоминания,2008
отправлялся,на поезде,PREP,отправляться,yes,past,impf,sing,"Иногда вождь отправлялся на поезде прямо в Сочи, а бывали случаи, когда он поездом следовал до Астрахани, а дальше пароходом на Кавказ. ",22,Владимир Киреев,Лимузины в боярских конюшнях,2007
Съехал,на поезде,PREP,съехать,yes,past,perf,sing,"Съехал на поезде, по рельсам, в море ― море суши. ",10,Рустам Рахматуллин,К метафизике русского юга,2005
уезжала,на поезде,PREP,уезжать,yes,past,impf,sing,"Со среднеазиатских гастролей « команда» с декорациями уезжала на поезде, а Серафима улетала на самолете. ",15,Сергей Есин,Марбург,2005
мчался,на поезде,PREP,мчаться,no,past,impf,sing,"Когда после первого куплета в зале поднялся невообразимый крик и дружинники уже не знали, куда бросаться и кого хватать, я наконец понял, что должен был испытывать Венька в ту ночь, когда мчался на поезде к нам из Ленинграда в Москву, и как ему, наверное, не терпелось поделиться с нами этой замечательной, этой самой лучшей на свете песней.   ",57,Андрей Геласимов,Рахиль,2004
ехал,на поезде,PREP,ехать,no,past,impf,sing,"В тот день Джон Уилер, видный участник Американского термоядерного проекта, ехал на поезде в Вашингтон и вез с собой секретный документ с важными сведениями о водородной бомбе. ",27,Геннадий Горелик,Андрей Сахаров. Наука и свобода,2004
ездил,на поездах,PREP,ездить,no,past,impf,plur,"За отцом охотились, искали его, так что он вынужден был скрываться: работал проводником, ездил на поездах дальнего следования.   ",18,М. В. Жилкина,Наше дело - молиться,2004
везли,на поезде,PREP,везти,no,past,impf,sing,"Помните, когда вас везли на поезде ― воинский эшелон шел долго, по жаре, и когда вы увидели первого верблюда, вдруг вспомнили отца. ",22,Михаил Шишкин,Венерин волос,2004
ехали,на поезде,PREP,ехать,no,past,impf,sing,"Они куда-то ехали на поезде, и она хотела положить сумочку с собой спать, но ей сказали, что шоколад растает, монетки расплющатся. ",21,Михаил Шишкин,Венерин волос,2004
ехал,на поезде,PREP,ехать,no,past,impf,sing,"Потом я ехал на поезде туда, где родился, но мне было страшно оттого, что я не знал, на какой станции надо сходить. ",22,Андрей Геласимов,Год обмана,2003
тащились,на поезде,PREP,тащиться,no,past,impf,sing,"Вернувшись к берегу, сдав « заказ», тащились на поезде назад. ",10,Валерий Попов,Свободное плавание,2003
ехал,на поезде,PREP,ехать,no,past,impf,sing,В ту памятную ночь 26 апреля 1986 года я с женой и маленьким сыном ехал на поезде по Украине из Москвы в Одессу. ,23,Владимир Синельников,По памяти,2003
мчались,на поездах,PREP,мчаться,no,past,impf,plur,"Было много невероятного в искусственном соединении разных людей, стрелявших из пушек и пулеметов: они двигались по полям южной России, ездили верхом, мчались на поездах, гибли, раздавленные колесами отступающей артиллерии, умирали и шевелились, умирая, и тщетно пытались наполнить большое пространство моря, воздуха и снега каким-то своим, не божественным смыслом».   ",48,Игорь Сухих,"Клэр, Машенька, ностальгия",2003
передвигаются,на поездах,PREP,передвигаться,yes,pres,impf,plur,"Вероятнее всего, что по Европе они передвигаются на поездах. ",9,,Хроника террора,2003
Приехали,на поезде,PREP,приехать,yes,past,perf,sing,Да как. Приехали на поезде. ,5,Любовь Гурова,В промежутке — жутко,2002
ехал,на поезде,PREP,ехать,no,past,impf,sing,Появилась эта информация у меня случайно ― я ехал на поезде в Москву и случайно оказался в вагоне с его родственником. ,21,Эльвира Савкина,«Я был последним комсомольским секретарем в КуАИ»,2002
доехали,на поезде,PREP,доехать,yes,past,perf,sing,"До Екатеринбурга доехали на поезде, дальше двинулись на лошадях. ",9,Леонид Юзефович,Князь ветра,2001
выезжают,на поезде,PREP,выезжать,yes,pres,impf,sing,"Некоторые студенты за два дня до праздника выезжают на поезде (« зайцами», прячась в вагонах-ресторанах и в тамбурах от проводников) в Пинежские карстовые пещеры  ( день едут поездом и еще день ― на лыжах). ",34,Максим Хуторной,Что подарить на 200 рублей?,2001
