Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
ехали,поездом,INS,ехать,no,past,impf,sing,"Кстати, помню, кинематографисты отправились на какие-то премьерные показы в Сибирь, ехали поездом, везли « Две жизни» Лукова, « Люди и звери» Герасимова, мою картину « На семи ветрах» ― словом, два вагона артистов семь суток томились в дороге от скуки. ",40,"Татьяна Рассказова, Лариса Лужина",От вечной невесты до царицы,1998
выехали,поездом,INS,выехать,yes,past,perf,sing,Из Москвы мы выехали поездом с Белорусского вокзала. ,8,Валентин Бережков,Рядом со Сталиным,1971
ехали,поездом,INS,ехать,no,past,impf,sing,"Мы ехали поездом, занимая отдельный вагон. ",6,Валентин Бережков,Рядом со Сталиным,1971
выехали,поездом,INS,выехать,yes,past,perf,sing,Мы выехали поездом во второй половине дня и на следующее утро прибыли в Запорожье. ,14,Валентин Бережков,Рядом со Сталиным,1971
отбывали,поездом,INS,отбывать,yes,past,impf,sing,"На следующий день мы отбывали поездом в Москву, а оттуда транссибирским экспрессом на Дальний Восток.   ",15,Валентин Бережков,Рядом со Сталиным,1971
выехали,поездом,INS,выехать,yes,past,perf,sing,"Молотов со Сталиным и Ворошиловым два дня назад выехали поездом в Баку, откуда должны были лететь в Тегеран. ",18,Валентин Бережков,Рядом со Сталиным,1971
ехали,поездом,INS,ехать,no,past,impf,sing,До Красноярска ссыльные ехали поездом. ,5,Олег Трояновский,Через годы и расстояния,1997
отправились,поездом,INS,отправиться,yes,past,perf,sing,Из Ванкувера летчики в сопровождении посла отправились поездом в небольшое турне по Америке: Сан-Франциско ― Чикаго ― Вашингтон ― Нью-Йорк. ,20,Олег Трояновский,Через годы и расстояния,1997
поедем,поездом,INS,поехать,yes,futr,perf,sing,"Из Владивостока мы поедем поездом через всю страну, ― продолжала Елена Ивановна, ― ты увидишь столько новых городов, побываешь в Москве…   ",21,Юрий Рытхэу,Самые красивые корабли,1997
поеду,поездом,INS,поехать,yes,futr,perf,sing,"Бритый, но добрый фотограф Женя- сэнсей Атанов пришел на работу, попил воды после вчерашнего пива « Балтика» # 3 и сказал задумчиво: « А возьму- ка я, ребята, сейчас заеду домой, отыщу зубную щетку и поеду поездом в город Белгород к родителям. ",42,,Про себя,1997
приехал,поездом,INS,приехать,yes,past,perf,sing,Я приехал поездом заранее. ,4,А. М. Галин,Аномалия,1996
добиралась,поездом,INS,добираться,yes,past,impf,sing,"Погостив у нее с недельку, дальше добиралась поездом. ",8,Ирина Полянская,Прохождение тени,1996
выехала,поездом,INS,выехать,yes,past,perf,sing,"По благословению Высокопреосвященнейшего Владыки Евгения, архиепископа Тамбовского и Мичуринского, после оформления соответствующих документов, сборов, вечером воскресного дня 8 сентября 1991 г. группа паломников Тамбовской епархии выехала поездом в Москву. ",29,Нина Торопцева,Паломничество по Святой Земле в конце ХХ века,1996
ехали,поездом,INS,ехать,no,past,impf,sing,"Мы ехали поездом вместе с ним вдвоем, и на вокзале я представил ему Лиду, свою будущую жену, с которой он сохранил до самой своей смерти самые лучшие отношения. ",28,,Воспоминания о Шкловском,1996
добралась,поездом,INS,добраться,yes,past,perf,sing,"Кроме того, его супруга ― Александра Дмитриевна, о которой он сильно беспокоился с самого первого дня конференции, наконец добралась поездом из Москвы и не опоздала к старту нашей экспедиции. ",29,,Воспоминания о Шкловском,1996
добирались,поездом,INS,добираться,yes,past,impf,sing,В Москву мы добирались поездом.   ,5,Борис Левин,Блуждающие огни,1995
Ехали,поездом,INS,ехать,no,past,impf,sing,"Все, все уже за холмами. Ехали поездом до станции Искитим. ",10,Виктор Астафьев,Прокляты и убиты. Книга первая. Чертова яма,1995
